Title,Artist,Creation_Date,Accession_Number,Art_Type,Culture,Image
Minature vase,Unidentified Artist,19th century,65.86.38,Porcelain with green and crackled grey glaze (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-65_86_38_whs-002.jpg
Dish,Unidentified Artist,Unknown Date,24.170.6,Porcelain painted in underglaze blue and overglaze polychrome enamels,China,https://images.metmuseum.org/CRDImages/as/mobile-large/58230.jpg
Piece,Unidentified Artist,19th century,20.148.1228,Silk / Compound weave,China or Japan,https://images.metmuseum.org/CRDImages/as/mobile-large/DP14691.jpg
Snuff bottle with stopper,Unidentified Artist,18th–19th century,"02.18.991a, b","Agate, quartz",China,https://images.metmuseum.org/CRDImages/as/mobile-large/02_18_991.JPG
Bead,Unidentified Artist,Unknown Date,13.40.90,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/15184.jpg
Vase,Unidentified Artist,19th century,81.1.553,Cloisonné enamel,China,https://images.metmuseum.org/CRDImages/as/mobile-large/81_1_553-554_25117.jpg
Polishing wheel for carving jade,Unidentified Artist,20th century,1981.296.23,Stone,China,https://images.metmuseum.org/CRDImages/as/mobile-large/1981_296_14-28_226267.jpg
Bowl,Unidentified Artist,late 18th century,1971.180.247,Porcelain with copper red glaze (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/1971_180_247_O1_sf.jpg
Oracle bone fragment,Unidentified Artist,Unknown Date,18.56.72,Bone,China,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-18_56_72_002.jpg
Panel,Unidentified Artist,Unknown Date,10.27.1,Silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/7377.jpg
Jade book,Unidentified Artist,18th century,02.18.527,Jade (nephrite),China,https://images.metmuseum.org/CRDImages/as/mobile-large/02_18_527_d1.jpg
"Bowl with ring handles

",Unidentified Artist,18th–19th century,02.18.670,Jade (nephrite),China,https://images.metmuseum.org/CRDImages/as/mobile-large/18470.jpg
"Seal with two dragons

",Unidentified Artist,18th century,"02.18.464a, b",Jade (nephrite),China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-14153-025.jpg
Snuff bottle with fish,Unidentified Artist,late 18th–early 19th century,"21.175.280a, b",Overlay glass with ivory-and-glass stopper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP295189.jpg
Chair Strip with Elephant,Unidentified Artist,18th century,62.97.44,"Silk, metallic thread, peacock feather filaments;  on silk;  lined with linen(?)",China,https://images.metmuseum.org/CRDImages/as/mobile-large/175114.jpg
Carved Figure,Unidentified Artist,18th century,06.32,Ivory,China,https://images.metmuseum.org/CRDImages/as/mobile-large/06_32_O1.jpg
Vase,Unidentified Artist,Unknown Date,18.56.57,"Stoneware with crackled blue glaze (Longquan ware)

",China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP335586.jpg
Wrist Rest with Seven Sages of the Bamboo Grove,Unidentified Artist,18th century,"38.25.119a, b",Ivory,China,https://images.metmuseum.org/CRDImages/as/mobile-large/38_25_119_O1.jpg
Cup with flowers,Unidentified Artist,late 18th century,79.2.516,Porcelain painted in overglaze polychrome enamels (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/28332.jpg
Bead,Unidentified Artist,Unknown Date,13.40.95,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/13_40_95_15294.jpg
Chair Strip,Unidentified Artist,17th–18th century,30.75.52,"Silk, metallic thread;  on silk",China,https://images.metmuseum.org/CRDImages/as/mobile-large/164027.jpg
Griffin&#39;s Head Finial,Unidentified Artist,3rd century BCE,2002.201.87,Tinned bronze,Northwest China,https://images.metmuseum.org/CRDImages/as/mobile-large/2002_201_87_O1.jpg
Snuff bottle,Unidentified Artist,19th century,"21.175.291a, b",Agate with coral stopper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP321885.jpg
Plate,Unidentified Artist,ca. 1730–50,79.2.621,Porcelain painted in overglaze famille rose enamels and gilt,China,https://images.metmuseum.org/CRDImages/as/mobile-large/28671.jpg
Scholar Admiring Autumn Scenery,Unidentified artist,ca. 1525,13.220.28,Hanging scroll; ink and color on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/13_220_28_d1.jpg
Vase with elephant head handles and floral decoration,Unidentified Artist,16th century,18.69.2,Stoneware with relief decoration and polychrome glaze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/18_69_2_O1_sf.jpg
Luohan,Unidentified artist,Unknown Date,30.76.191,Side panel of a triptych of framed paintings; watercolor on linen,China,https://images.metmuseum.org/CRDImages/as/mobile-large/30_76_191.jpg
"Calligraphy Couplet

",Lianfang Songfou,19th century,"13.220.84a, b",Silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP335251.jpg
Vase,Unidentified Artist,Unknown Date,79.2.93,Porcelain with turquoise glaze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/79_2_93_O1_sf.jpg
Snuff Bottle with Scene of Dragon-Boat Festival,Unidentified Artist,Unknown Date,"14.40.571a, b","Porcelain with overglaze enamel colors, malachite stopper",China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP294334.jpg
"Vase with archaic designs

",Unidentified Artist,18th century,02.18.908,Green chalcedony,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP289308.jpg
An Immortal on a Cloud with a Pair of Peaches,Unidentified artist,20th century,1984.492.1,Leaf from an album; ink on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP154396.jpg
Piece,Unidentified Artist,18th century,20.148.452,Silk / Compound weave,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP15939.jpg
"“Bamboo” section, from the Mustard Seed Garden Manual of Painting",Wang Gai,1817 (Jiaqing 2nd edition),2016.751.5,Woodblock-printed book; ink and color on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-13248-001.jpg
Snuff Bottle with Dragon Chasing a Flaming Pearl,Unidentified Artist,late 18th–early 19th century,"14.40.599a, b",Porcelain in imitation of glass with coral stopper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP293412.jpg
Snuff Bottle,Unidentified Artist,Unknown Date,"14.40.549a, b",Porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/14_40_549_O1.jpg
Statuette,Unidentified Artist,late 19th century,"65.86.139a, b",Ivory,China,https://images.metmuseum.org/CRDImages/as/mobile-large/65_86_139_O1.jpg
Gourd-shaped vase,Unidentified Artist,19th century,91.1.414,Porcelain with copper red glaze (jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-91_1_414_whs-001.jpg
Snuff Bottle,Unidentified Artist,19th century,"27.131.6a, b",Agate,China,https://images.metmuseum.org/CRDImages/as/mobile-large/27_131_6.jpg
Vase,Unidentified Artist,18th century,33.40.78,"Porcelain with celadon glaze (Jingdezhen ware)

",China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-14607-059.jpg
Horse,Unidentified Artist,8th–9th century,10.221.8,Earthenware with traces of pigment,China,https://images.metmuseum.org/CRDImages/as/mobile-large/10_221_8.JPG
Harness Fitting with Zoomorphic Motif,Unidentified Artist,3rd century BCE,2002.201.139,Gilded bronze,North China,https://images.metmuseum.org/CRDImages/as/mobile-large/2002_201_139_O1.jpg
Water vessel in the shape of an ancient ritual bronze (yi),Unidentified Artist,Unknown Date,02.18.328,Jade (nephrite),China,https://images.metmuseum.org/CRDImages/as/mobile-large/02_18_328_S2_sf.jpg
Saucer,Unidentified Artist,Unknown Date,24.80.549,Porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/24_80_549_02.jpg
Setting Sun on the Autumn River,Pan Yunyu,1604 or 1664,13.100.79,Folding fan mounted as an album leaf; ink and color on gold paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP153847.jpg
Cup with handles in the form of lions,Unidentified Artist,Unknown Date,21.165,Gold,China,https://images.metmuseum.org/CRDImages/as/mobile-large/21_165_48972.jpg
Rug,Unidentified Artist,19th century,63.58,"Silk pile, wrapped metal on cotton warp and weft",China,https://images.metmuseum.org/CRDImages/as/mobile-large/181186.jpg
Landscape,Unidentified artist,Unknown Date,13.220.99i,Album leaf; ink and color on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP154415.jpg
Flower-Shaped Clothing Plaque,Unidentified Artist,7th–9th century,2002.556.40,Gold,"China (Xinjiang Autonomous Region, Central Asia)",https://images.metmuseum.org/CRDImages/as/mobile-large/DP271875.jpg
Column,Unidentified Artist,Unknown Date,21.175.53,Nephrite with enameled copper stand,China,https://images.metmuseum.org/CRDImages/as/mobile-large/49241.jpg
Vase in the shape of a magnolia,Unidentified Artist,18th century,"65.86.190a, b",Jade (nephrite),China,https://images.metmuseum.org/CRDImages/as/mobile-large/183507.jpg
Medallion,Unidentified Artist,late 18th–early 19th century,30.75.918,"Silk, metallic thread on silk",China,https://images.metmuseum.org/CRDImages/as/mobile-large/79938.jpg
"Buddhist disciple, or luohan, holding a peach",Unidentified Artist,17th century,2013.167,Soapstone,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP326722.jpg
Square Dish,Unidentified Artist,Unknown Date,24.80.344,Painted enamel,China,https://images.metmuseum.org/CRDImages/as/mobile-large/24_80_343_344.JPG
Fragment of a Bowl (Study Collection),Unidentified Artist,Unknown Date,1982.464.29,White porcelain (Qingbai ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/1982_464_29.jpg
Streams and Mountains Without End,Unidentified artist,17th century,47.18.3,Handscroll; ink and color on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP201351_CRD.jpg
Woman’s coat with crane medallions,Unidentified Artist,19th century,49.32.124,Silk tapestry (kesi),China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP226472.jpg
"Base from a Purification Brazier 

",Unidentified Artist,15th–17th century,1992.257.2,Iron inlaid with gold and silver,"Tibet, probably Derge",https://images.metmuseum.org/CRDImages/as/mobile-large/DP236518.jpg
Bowl (one of a pair),Unidentified Artist,Unknown Date,64.279.16,"Porcelain painted in polychrome enamels, with white enamel on the biscuit",China,https://images.metmuseum.org/CRDImages/as/mobile-large/64_279_16_O1.jpg
God of Longevity (Shoulao),Unidentified Artist,late 17th–early 18th century,14.40.203,Porcelain painted in polychrome enamels over the biscuit (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/14_40_203_F_sf_temp.jpg
Bowl,Unidentified Artist,ca. 12th century,1980.532,Porcelain with incised decoration under ivory-white glaze (Ding ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP274930.jpg
Grooved Grinder for Jade,Unidentified Artist,20th century,1981.296.4,Metal,China,https://images.metmuseum.org/CRDImages/as/mobile-large/1981_296_4_O1.jpg
Snuff bottle with stopper,Unidentified Artist,18th–19th century,"02.18.963a, b","Agate, jadeite",China,https://images.metmuseum.org/CRDImages/as/mobile-large/02_18_963.JPG
Belt hook,Unidentified Artist,5th–4th century BCE,51.134.6,Bronze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP167733.jpg
Plate,Unidentified Artist,18th century,11.60.101,Porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/10466.jpg
Plate,Unidentified Artist,Unknown Date,1974.356.87,Porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/204701.jpg
Box with a scholar and chrysanthemums,Unidentified Artist,19th century,13.100.146,Carved red lacquer,China,https://images.metmuseum.org/CRDImages/as/mobile-large/13_100_146_O1.JPG
Cushion,Unidentified Artist,late 19th century,61.38.2,Silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/171992.jpg
Saucer with Thai mythical figures,Unidentified Artist,19th century,09.70.29,Porcelain painted in overglaze polychrome enamels (Bencharong ware for Thai market),China,https://images.metmuseum.org/CRDImages/as/mobile-large/09_70_29_O1_sf.jpg
Tiger: emblem of the West,Unidentified Artist,Unknown Date,11.190.14,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/11_190_14_11767.jpg
Covered Jar,Unidentified Artist,Unknown Date,"20.41.7a, b",Porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/45431.jpg
Dish with children playing in a garden,Unidentified Artist,13th century,2002.180,Silver with repoussé decoration and gilding,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DT5394.jpg
Birds in a lotus pond,Bada Shanren (Zhu Da),ca. 1690,1989.363.135,Handscroll; ink on satin,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP205836_CRD.jpg
Circular Pierced Tablet,Unidentified Artist,Unknown Date,02.18.319,Nephrite,China,https://images.metmuseum.org/CRDImages/as/mobile-large/32959.jpg
Covered jar with plum blossoms,Unidentified Artist,early 18th century,"14.40.277a, b",Porcelain painted in underglaze cobalt blue  (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-14_40_277_whs-001.jpg
Plate,Unidentified Artist,late 17th–early 18th century,79.2.358,Porcelain painted in underglaze blue,China,https://images.metmuseum.org/CRDImages/as/mobile-large/28212.jpg
Teabowl,Unidentified Artist,Unknown Date,91.1.241,Stoneware with hare's fur glaze (Jian ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-15452-025.jpg
Chisel,Unidentified Artist,Unknown Date,16.144.9,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/16_144_9_34738.jpg
Jar,Unidentified Artist,Unknown Date,"25.33.4a, b",Porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/25_33_4_59212.jpg
Vase with Scene from The Story of the Blue Robe,Unidentified Artist,mid-17th century,2010.480,"Porcelain painted with cobalt blue under and colored enamels over transparent glaze (Jingdezhen ware)

",China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP261018.jpg
Sutra cover with phoenixes amid flowers,Unidentified Artist,16th century,2011.221.4,Satin weave in silk with supplementary metal-thread weft patterning,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-14150-038.jpg
Snuff Bottle,Unidentified Artist,Unknown Date,"21.175.386a, b","Porcelain with metal and enamel stopper, wood stand",China,https://images.metmuseum.org/CRDImages/as/mobile-large/21_175_386ab_O1.jpg
Luohan,Unidentified artist,late 13th–early 14th century,1984.226,Hanging scroll; ink and color on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-18090-002.jpg
Tile,Unidentified Artist,Unknown Date,30.76.124,Unglazed terracotta,China,https://images.metmuseum.org/CRDImages/as/mobile-large/30_76_124_O1.jpg
Manchu Woman&#39;s Headdress,Unidentified Artist,late 18th century,54.27.5,"Semi-precious stones, imitation pearls, feathers",China,https://images.metmuseum.org/CRDImages/as/mobile-large/54_27_5_O1.jpg
Vase,Unidentified Artist,late 19th century,"14.40.515a, b",Porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/14_40_515.jpg
Bottle and stopper,Unidentified Artist,Unknown Date,24.80.475,Enamel on copper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/24_80_475_S1.jpg
"Twin Pines, Level Distance",Zhao Mengfu,ca. 1310,1973.120.5,Handscroll; ink on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP153682.jpg
A Page from the Jie Zi Yuan,Huang Zujiu,Unknown Date,CP40,Polychrome woodblock print; ink and color on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/CP40_sf.jpg
Woman&#39;s Robe,Unidentified Artist,20th century,49.32.126,Gauze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/146391.jpg
Viewing the Moon under a Pine Tree,Ma Yuan,early 13th century,23.33.5,Album leaf; ink and color on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP153498.jpg
Square vase with flowers of four seasons,Unidentified Artist,19th century,14.40.181,"Porcelain painted in polychrome enamels over black ground (Jingdezhen ware, famille noire)",China,https://images.metmuseum.org/CRDImages/as/mobile-large/20726.jpg
Streamer,Unidentified Artist,19th century,"67.179.27a, b",Silk and metallic-thread embroidery on silk satin,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP14461.jpg
Round Box and Cover,Unidentified Artist,2nd–3rd century,"2015.500.1.84a, b",Lacquer,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP704156.jpg
Landscape,Zheng Bin,Unknown Date,42.200.11,Miniature from album of eleven paintings; ink and color on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP154483.jpg
Bodhisattva,Unidentified Artist,16th–17th century,42.25.4,Wood with lacquer and gilding,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP164009.jpg
Dish with flowers,Unidentified Artist,late 17th–early 18th century,18.29.2,Porcelain painted in underglaze cobalt blue (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/18_29_2_F.jpg
Dish with figures,Unidentified Artist,late 17th–early 18th century,79.2.441,Porcelain painted in underglaze cobalt blue (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-15944-007.jpg
Bowl,Unidentified Artist,20th century,1991.31,Porcelain painted in underglaze blue,China,https://images.metmuseum.org/CRDImages/as/mobile-large/1991_31.JPG
Dish,Unidentified Artist,18th century,02.18.847,Rock crystal,China,https://images.metmuseum.org/CRDImages/as/mobile-large/15130.jpg
Square,Unidentified Artist,early 18th century,60.104.1,"Silk, metallic thread;  silk mount;  silk lining",China,https://images.metmuseum.org/CRDImages/as/mobile-large/171287.jpg
Bottle,Unidentified Artist,late 6th–early 7th century,2011.394,"Stoneware with incised decoration under celadon glaze

",China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-14609-068.jpg
Fishing Scene,Unidentified artist,Unknown Date,47.18.47,Handscroll; ink and color on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP202449_CRD.jpg
Bodhisattva,Unidentified Artist,10th century ?,20.30,Polychromed wood,China,https://images.metmuseum.org/CRDImages/as/mobile-large/20_30_45377.JPG
Votive Plaque,Unidentified Artist,ca. 8th century or later,38.80.6,Clay,Tibet,https://images.metmuseum.org/CRDImages/as/mobile-large/38_80_6.JPG
Ceremonial dagger-ax (Ge),Unidentified Artist,13th–11th century BCE,24.170.13,Jade (nephrite),China,https://images.metmuseum.org/CRDImages/as/mobile-large/58227.jpg
Cup,Unidentified Artist,late 17th–early 18th century,"1974.369.11a, b",Porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/1974_369_11_205584.jpg
Double vase,Unidentified Artist,18th century,02.18.872,Carnelian and white agate,China,https://images.metmuseum.org/CRDImages/as/mobile-large/15127.jpg
Suspension ring,Unidentified Artist,mid-7th–9th century,2003.24.3,Gold,Northwest China/Eastern Central Asia,https://images.metmuseum.org/CRDImages/as/mobile-large/DP271989.jpg
Jar (Labakou Hu),Unidentified Artist,1st century BCE,1984.15,Earthenware with brown-green glaze and raised decoration,China,https://images.metmuseum.org/CRDImages/as/mobile-large/232140.jpg
Bead,Unidentified Artist,Unknown Date,11.190.270,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/11_190_270_11847.jpg
"Buddhist Attendant, Possibly a Dakini
",Unidentified Artist,late 18th century,38.103,Color on paper,Eastern Tibet,https://images.metmuseum.org/CRDImages/as/mobile-large/38_103.JPG
Mirror with paired fantastic birds and floral designs,Unidentified Artist,8th century,22.141.3,Bronze with black patina,China,https://images.metmuseum.org/CRDImages/as/mobile-large/22_141_3_51234.JPG
Headdress Ornament,Unidentified Artist,Unknown Date,22.11.3,"Gold, jade, iron",China,https://images.metmuseum.org/CRDImages/as/mobile-large/22_11_3.JPG
"Mirror Case with Pattern of Rock, Chrysanthemums, and Pomegranates",Unidentified Artist,Unknown Date,30.75.62,Silk threads applied to plain-weave silk crepe,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP255288.jpg
Panel,Unidentified Artist,early 18th century,1974.276,"Silk, metallic thread;  on silk",China,https://images.metmuseum.org/CRDImages/as/mobile-large/1974_276_CR_O1_sf.jpg
A Page from the Jie Zi Yuan,Li Liufang,Unknown Date,CP41,Polychrome woodblock print; ink and color on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/CP41_sf.jpg
Central Watchtower,Unidentified Artist,1st–early 3rd century,"1984.397a, b",Earthenware with green lead glaze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP341913.jpg
Vase decorated with bats and peaches amid scrolling floral vines and “double happiness” character,Unidentified Artist,Unknown Date,79.2.775,Porcelain painted in overglaze polychrome enamels (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/28557.jpg
Candlestick with lotus scrolls,Unidentified Artist,late 14th–early 15th century,29.110.37,Cloisonné enamel,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP228147.jpg
Flowers of the Four Seasons,Shen Zhou,Unknown Date,1982.205,Handscroll; ink and color on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP216136_CRD.jpg
Snuff Bottle,Unidentified Artist,19th century,"14.40.488a, b",Agate,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP321810.jpg
Panel with Geometric Pattern,Unidentified Artist,18th century,34.98,"Silk and metallic thread lampas
",China,https://images.metmuseum.org/CRDImages/as/mobile-large/RT654.jpg
"Twenty-eight Star Gods of Longevity, Rank, and Happiness",Unidentified Artist,19th century,CP361,Polychrome woodblock print; ink and color on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/CP361_O.jpg
Sleeve Band,Unidentified Artist,19th century,30.75.153,Silk;  on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/78647.jpg
Horse and female rider,Unidentified Artist,late 7th–first half of the 8th century,1991.253.10,Earthenware with three-color (sancai) glaze and pigment,China,https://images.metmuseum.org/CRDImages/as/mobile-large/1991_253_10.jpg
Sleeve Band,Unidentified Artist,19th century,59.150.7,"Silk, metallic thread;  on silk",China,https://images.metmuseum.org/CRDImages/as/mobile-large/169808.jpg
Jacket,Unidentified Artist,19th century,2003.58,"Cotton, hemp, silk",China (Danzai people),https://images.metmuseum.org/CRDImages/as/mobile-large/2003.58_F.JPG
Statuette,Unidentified Artist,date uncertain,30.76.161,Wood,China,https://images.metmuseum.org/CRDImages/as/mobile-large/30_76_161.JPG
Model of Guardian,Unidentified Artist,Unknown Date,1994.605.69,Stoneware,China,https://images.metmuseum.org/CRDImages/as/mobile-large/272401.jpg
Bottle,Unidentified Artist,Unknown Date,29.149.43,Porcelain decorated in underglaze blue,China,https://images.metmuseum.org/CRDImages/as/mobile-large/78421.jpg
Simple Retreat,Wang Meng,ca. 1370,2012.526.2,Hanging scroll; ink and color on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP274196.jpg
Snuff Bottle,Unidentified Artist,Unknown Date,"21.175.252a, b",Carved ivory with green glass stopper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/21_175_252ab_O1.jpg
Chisel,Unidentified Artist,19th century?,11.190.79,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/11_190_79_11795.jpg
Bottle,Unidentified Artist,Unknown Date,24.80.282,Porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/24_80_282_01.jpg
Vase with landscape,Unidentified Artist,late 18th century,79.2.1197,Porcelain painted in overglaze polychrome enamels (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/79_2_1197_O1_sf.jpg
"Luohan, after a set attributed to Guanxiu",Unidentified,stone carved in 1757; rubbing 18th or 19th century?,59.195.15,On paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-18070-015.jpg
Incense burner with cover,Unidentified Artist,Unknown Date,"02.18.590a, b","Nephrite, white with very light greenish tint",China,https://images.metmuseum.org/CRDImages/as/mobile-large/02_18_590_O2.jpg
Cap-Shaped Plaque with Lion,Unidentified Artist,7th–9th century,2002.556.31,Gold,"China (Xinjiang Autonomous Region, Central Asia)",https://images.metmuseum.org/CRDImages/as/mobile-large/DP271865.jpg
Figure of Elephant,Unidentified Artist,Unknown Date,02.18.396,"Nephrite, light sage-green with a light bluish tint",China,https://images.metmuseum.org/CRDImages/as/mobile-large/32791.jpg
Covered bowl,Unidentified Artist,Unknown Date,"21.175.49a, b",White jadeite,China,https://images.metmuseum.org/CRDImages/as/mobile-large/49239.jpg
Vase,Unidentified Artist,18th century,33.40.79,Lacquer on pewter,China,https://images.metmuseum.org/CRDImages/as/mobile-large/33_40_79_O1.JPG
Snuff bottle with theatrical scene,Unidentified Artist,late 19th century,1993.386.31,"Porcelain with underglaze red and blue, glass stopper",China,https://images.metmuseum.org/CRDImages/as/mobile-large/1993_386_31_O1_sf.jpg
Implement to loosen knots,Unidentified Artist,Unknown Date,13.40.113,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/15225.jpg
Cap-Shaped Plaque with Lion,Unidentified Artist,7th–9th century,2002.556.35,Gold,"China (Xinjiang Autonomous Region, Central Asia)",https://images.metmuseum.org/CRDImages/as/mobile-large/DP271869.jpg
Study Pavilion and Plum Trees: Page from The Mustard Seed Garden Manual of Painting,Li Cheng,Unknown Date,CP48,Polychrome woodblock print; ink and color on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/CP48.jpg
Ewer with Cover,Unidentified Artist,12th century,"1970.3a, b",Porcelain (Qingbai ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/1970_3ab_O3_sf.jpg
Hair Ornament,Unidentified Artist,Unknown Date,25.186.6,Silver,China,https://images.metmuseum.org/CRDImages/as/mobile-large/25_186_6.JPG
"Rank Badge with Egret
",Unidentified Artist,late 18th–early 19th century,30.75.876,Silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/79785.jpg
Bowl,Unidentified Artist,Unknown Date,26.292.28,Stoneware with glaze (Jun ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/26_292_28_O1_sf.jpg
Bottle (one of a pair),Unidentified Artist,ca. 1700–22,66.206.3,Porcelain painted in underglaze blue,China,https://images.metmuseum.org/CRDImages/as/mobile-large/66_206_3_O1.jpg
Girdle ornament,Unidentified Artist,Unknown Date,11.190.191,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/11_190_191_11824.jpg
"White Crane Mountain, leaf from Album for Zhou Lianggong",Ye Xin,datable to 1654–55,64.268.2,Leaf from a collective album of many leaves; ink and color on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP153914.jpg
Handle-shaped blade,Unidentified Artist,10th–9th century BCE,1985.214.96,Jade (nephrite),China,https://images.metmuseum.org/CRDImages/as/mobile-large/5TH-7394-ENG-44783-1.mp3
Seal,Unidentified Artist,Unknown Date,24.13.50,Bronze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/24_13_50_O2.jpg
Ewer,Unidentified Artist,Unknown Date,1981.468,Porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/226977.jpg
Poems by Famous Literati in Nanjing,Liu Xiang,16th–17th century,1989.363.87,Hanging scroll; ink on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/1989_363_87_O.JPG
"Water jar in the shape of a flower

",Unidentified Artist,19th century,"65.86.169a, b",Carnelian,China,https://images.metmuseum.org/CRDImages/as/mobile-large/183850.jpg
Sleeve Band,Unidentified Artist,19th century,30.75.479,Silk;  on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/79018.jpg
Vase with birds and flowers,Unidentified Artist,late 17th–early 18th century,14.40.36,Porcelain painted in overglaze polychrome enamels (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/14_40_36_O1_sf.jpg
Bottle,Unidentified Artist,Unknown Date,50.145.297,Porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/149551.jpg
Figure of a woman,Unidentified Artist,4th–3rd century BCE,43.56.4,Baked clay,China,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-43_56_4_001.jpg
