Title,Artist,Creation_Date,Accession_Number,Art_Type,Culture,Image
Covered Box,Unidentified Artist,Unknown Date,"17.35.2a, b",Porcelain painted in underglaze blue,China,https://images.metmuseum.org/CRDImages/as/mobile-large/17_35_2ab_O1_sf.jpg
Cup,Unidentified Artist,18th century,79.2.916,Porcelain painted in white enamel and gilt,China,https://images.metmuseum.org/CRDImages/as/mobile-large/29580.jpg
Jar with theatrical scene,Unidentified Artist,1668–1722,"29.149.22a, b","Porcelain painted in underglaze cobalt blue (Jingdezhen ware), wooden lid with a jade knob",China,https://images.metmuseum.org/CRDImages/as/mobile-large/29_149_22ab_O1_sf.jpg
Seated luohan holding a fan,Unidentified Artist,late 18th century,21.175.145,Jade (nephrite),China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP350747.jpg
Square vase with scenes of four seasons,Unidentified Artist,late 17th–early 18th century,14.40.187,"Porcelain painted in polychrome enamels over a black ground (Jingdezhen ware, famille noire)",China,https://images.metmuseum.org/CRDImages/as/mobile-large/14_40_187_O1_sf.jpg
Miniature bowl,Unidentified Artist,8th century,18.57.7,Earthenware with polychrome glaze (Sancai ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/18_57_7_O1.jpg
Water receptacle,Unidentified Artist,Unknown Date,02.18.406,Nephrite,China,https://images.metmuseum.org/CRDImages/as/mobile-large/18519.jpg
Pendants,Unidentified Artist,20th century,65.86.102,"Jade, seed pearls",China,https://images.metmuseum.org/CRDImages/as/mobile-large/184064.jpg
Piece,Unidentified Artist,19th century,45.125.5,Silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/135144.jpg
Bowl,Unidentified Artist,Unknown Date,29.100.207,"Pottery, glazed, blue (Jun ware)",China,https://images.metmuseum.org/CRDImages/as/mobile-large/75864.jpg
"Luohan, after a set attributed to Guanxiu",Unidentified,stone carved in 1757; rubbing 18th or 19th century?,59.195.4,Ink on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-18070-004.jpg
Amphora with dragon-shaped handles,Unidentified Artist,ca. late 7th–first half of 8th century,65.82.1,Earthenware with three-color (sancai) glaze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/184059.jpg
Sutra cover,Unidentified Artist,16th century,2011.221.6,Plain-weave silk with supplementary weft patterning,China,https://images.metmuseum.org/CRDImages/as/mobile-large/2011_221_6_Strm1.jpg
Center Panel of Coverlet Top,Unidentified Artist,19th century,1972.106.1,Indigo; cotton,China,https://images.metmuseum.org/CRDImages/as/mobile-large/198724.jpg
Enjoying the Moon: Landscape in the Manner of Wang Meng,Gu Yide,dated 1628,13.220.111,Hanging scroll; ink and color on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/146252.jpg
Statuette,Unidentified Artist,17th century,30.76.98,Mud,China,https://images.metmuseum.org/CRDImages/as/mobile-large/30_76_98_F.JPG
Horse and Rider,Unidentified Artist,Unknown Date,47.69.2,Painted clay,China,https://images.metmuseum.org/CRDImages/as/mobile-large/47_69_2_F.JPG
