Title,Artist,Creation_Date,Accession_Number,Art_Type,Culture,Image
"On Happiness, Calligraphy in Seal Script Style (zhuanshu)","Yang Yisun (Chinese, 1813–1881)",1871,1999.174.3,Painting,"China, Changsu, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1999.174.3/1999.174.3_web.jpg
"On Happiness, Calligraphy in Seal Script Style (zhuanshu)","Yang Yisun (Chinese, 1813–1881)",1871,1999.174.4,Painting,"China, Changsu, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1999.174.4/1999.174.4_web.jpg
"On Happiness, Calligraphy in Seal Script Style (zhuanshu)","Yang Yisun (Chinese, 1813–1881)",1871,1999.174.5,Painting,"China, Changsu, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1999.174.5/1999.174.5_web.jpg
"On Happiness, Calligraphy in Seal Script Style (zhuanshu)","Yang Yisun (Chinese, 1813–1881)",1871,1999.174.6,Painting,"China, Changsu, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1999.174.6/1999.174.6_web.jpg
Four Poems: Calligraphy in Cursive Script (xingshu),"Chen Jiru (Chinese, 1558–1639)",1500s-1600s,2004.65,Calligraphy,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/2004.65/2004.65_web.jpg
Conical Bowl with Carved Babies and Floral Motif,Unknown,960–1279,2017.19,Ceramic,"China, Song dynasty (960-1279)",https://openaccess-cdn.clevelandart.org/2017.19/2017.19_web.jpg
Vase,Unknown,1662–1722,1941.152,Ceramic,"China, Jiangxi province, Jingdezhen, Qing dynasty (1644-1911), Kangxi mark and period (1662-1722)",https://openaccess-cdn.clevelandart.org/1941.152/1941.152_web.jpg
Jar,Unknown,1100s-1200s,1948.213,Ceramic,"Northern China, Jin dynasty (1115-1234)",https://openaccess-cdn.clevelandart.org/1948.213/1948.213_web.jpg
Basin,Unknown,1100s-1200s,1956.702,Ceramic,"China, Hebei province, Quyang, Jin dynasty (1115-1234)",https://openaccess-cdn.clevelandart.org/1956.702/1956.702_web.jpg
Arrow-Holder Vase (Jianhu),Unknown,1200s,1957.65,Ceramic,"China, Zhejiang province, Hangzhou, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1957.65/1957.65_web.jpg
