Title,Artist,Creation_Date,Accession_Number,Art_Type,Culture,Image,Museum
Wine vessel (Jue),Unknown,c. 1200 BC,1960.42,Metalwork,"China, late Shang dynasty (c.1600-c.1046 BC)",https://openaccess-cdn.clevelandart.org/1960.42/1960.42_web.jpg,Cleveland Art Museum
Brush Washer in Shape of a Leaf,Unknown,1723–35,1970.136,Ceramic,"China, Jiangxi province, Jingdezhen, Qing dynasty (1644-1911), Yongzheng reign (1723-1735)",https://openaccess-cdn.clevelandart.org/1970.136/1970.136_web.jpg,Cleveland Art Museum
Scepter in the Shape of a Ruyi Fungus,Unknown,1700s,1970.155,Wood,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1970.155/1970.155_web.jpg,Cleveland Art Museum
Brush Holder with Figures in Landscape and Poetic Inscription by Wang Meilin from Jiading,"Wang Meilin (Chinese, active c. 1825)",1800s,1988.75,Wood,"China, Qing dynasty (1644-1911), Daoguang reign (1821-50)",https://openaccess-cdn.clevelandart.org/1988.75/1988.75_web.jpg,Cleveland Art Museum
Wine Vessel (Jia),Unknown,c. 1700–1500 BC,1989.150,Metalwork,"China, probably Henan province, Erlitou culture (c. 1900-1500 BC)",https://openaccess-cdn.clevelandart.org/1989.150/1989.150_web.jpg,Cleveland Art Museum
Candle Stand,Unknown,600s,1930.322,Ceramic,"China, Sui dynasty (581-618) to early Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1930.322/1930.322_web.jpg,Cleveland Art Museum
Mortuary Figures of the Zodiac Signs,Unknown,500s,1972.76,Sculpture,"China, Northern Wei dynasty (386-534)",https://openaccess-cdn.clevelandart.org/1972.76/1972.76_web.jpg,Cleveland Art Museum
Bowl with Lotus Scrolls,Unknown,1500s,1989.297,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Ming dynasty (1368-1644)",https://openaccess-cdn.clevelandart.org/1989.297/1989.297_web.jpg,Cleveland Art Museum
Watchtower,Unknown,AD 25–220,1989.71,Ceramic,"China, Eastern Han dynasty (AD 25-220)",https://openaccess-cdn.clevelandart.org/1989.71/1989.71_web.jpg,Cleveland Art Museum
Album of Seasonal Landscapes,"Zha Shibiao (Chinese, 1615–1698)",1684,1955.37,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1955.37/1955.37_web.jpg,Cleveland Art Museum
Travelers in Autumn Mountains,"Sheng Mou (Chinese, active c. 1310–1350)",1300–50,1963.589,Painting,"China, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1963.589/1963.589_web.jpg,Cleveland Art Museum
Pair of Lotus Petal Vases,Unknown,1662–1722,1942.668,Ceramic,"China, Jiangxi province, Jingdezhen, Qing dynasty (1644-1911), Kangxi period (1662-1722)",https://openaccess-cdn.clevelandart.org/1942.668/1942.668_web.jpg,Cleveland Art Museum
A Pair of Peafowl,"Lin Liang (Chinese, 1416–1480)",late 1400s-early 1500s,1964.242,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1964.242/1964.242_web.jpg,Cleveland Art Museum
Ink Cake,Unknown,1736–95,1942.215.10,Miscellaneous,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",https://openaccess-cdn.clevelandart.org/1942.215.10/1942.215.10_web.jpg,Cleveland Art Museum
Dish with Bird on Peach Branch,Unknown,1662–1722,1964.213,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Qing dynasty (1644-1911), Kangxi mark and reign (1662-1722)",https://openaccess-cdn.clevelandart.org/1964.213/1964.213_web.jpg,Cleveland Art Museum
Box in Form of Lotus Leaf,Unknown,1700s,1970.137.1.a,Ivory,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1970.137.1.a/1970.137.1.a_web.jpg,Cleveland Art Museum
Box in Form of Lotus Leaf (lid),Unknown,1700s,1970.137.1.b,Ivory,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1970.137.1.b/1970.137.1.b_web.jpg,Cleveland Art Museum
Box in Form of Lotus Leaf,Unknown,1700s,1970.137.2.a,Ivory,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1970.137.2.a/1970.137.2.a_web.jpg,Cleveland Art Museum
Box in Form of Lotus Leaf (lid),Unknown,1700s,1970.137.2.b,Ivory,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1970.137.2.b/1970.137.2.b_web.jpg,Cleveland Art Museum
Potter Seated with Double Gourd Vase,Unknown,1300s,1973.14,Ceramic,"China, Yuan dynasty (1271-1368) - Ming dynasty (1368-1644)",https://openaccess-cdn.clevelandart.org/1973.14/1973.14_web.jpg,Cleveland Art Museum
Rain-coming Pavilion by the Stone Bridge at Mt. Tiantai,"Dai Xi (Chinese, 1801–1860)",1848,1979.54,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1979.54/1979.54_web.jpg,Cleveland Art Museum
Snuff Bottle with European Figures,Unknown,1736–95,1991.126,Enamel,"China, Qing dynasty (1644-1911), Qianlong mark and reign (1736-95)",https://openaccess-cdn.clevelandart.org/1991.126/1991.126_web.jpg,Cleveland Art Museum
Octafoil Mirror with Hunters and Prey,Unknown,late 600s–early 700s,1995.365,Metalwork,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1995.365/1995.365_web.jpg,Cleveland Art Museum
Mirror with a Pair of Phoenixes,Unknown,1100s,1995.389,Metalwork,"China, Song dynasty (960-1279)",https://openaccess-cdn.clevelandart.org/1995.389/1995.389_web.jpg,Cleveland Art Museum
Meiping Vase with carved Dragon Motif,Unknown,1300s,2020.189,Ceramic,"South China, Yuan dynasty (1279–1368)",https://openaccess-cdn.clevelandart.org/2020.189/2020.189_web.jpg,Cleveland Art Museum
Jar,Unknown,1522–66,1917.13,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Ming dynasty (1368-1644), Jiajing mark and reign (1522-66)",https://openaccess-cdn.clevelandart.org/1917.13/1917.13_web.jpg,Cleveland Art Museum
Tripod with Cover,Unknown,late 1700s,1921.1144,Wood,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1921.1144/1921.1144_web.jpg,Cleveland Art Museum
Tripod with Cover,Unknown,late 1700s,1921.1144.a,Wood,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1921.1144.a/1921.1144.a_web.jpg,Cleveland Art Museum
Fang Xuanling Pedestal,Unknown,647,1915.334.2,Sculpture,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1915.334.2/1915.334.2_web.jpg,Cleveland Art Museum
Head of Buddha,Unknown,c. 570,1923.97,Sculpture,"China, Hebei province, northern Xiangtangshan caves, South cave, Northern Qi dynasty (550-577)",https://openaccess-cdn.clevelandart.org/1923.97/1923.97_web.jpg,Cleveland Art Museum
Lotus Petal Vase,Unknown,1662–1722,1942.668.2,Ceramic,"China, Jiangxi province, Jingdezhen, Qing dynasty (1644-1911), Kangxi period (1662-1722)",https://openaccess-cdn.clevelandart.org/1942.668.2/1942.668.2_web.jpg,Cleveland Art Museum
Jar (Hu),Unknown,100 BC-100,1954.370,Ceramic,"China, probably Zhejiang province, Han dynasty (202 BC-AD 220)",https://openaccess-cdn.clevelandart.org/1954.370/1954.370_web.jpg,Cleveland Art Museum
Bowl with Ducks among Waves and Reeds,Unknown,1100s,1929.995,Ceramic,"China, Hebei province, Quyang, Northern Song dynasty (960-1127)",https://openaccess-cdn.clevelandart.org/1929.995/1929.995_web.jpg,Cleveland Art Museum
Chariot Canopy Shaft,Unknown,202 BC–AD 9,1992.233,Metalwork,"China, Western Han dynasty (202 BC-AD 9)",https://openaccess-cdn.clevelandart.org/1992.233/1992.233_web.jpg,Cleveland Art Museum
Ceremonial Axe (Fu),Unknown,c. 1900–1500 BC,1991.115,Jade,"China, Erlitou Culture (c. 1900-1500 BC)",https://openaccess-cdn.clevelandart.org/1991.115/1991.115_web.jpg,Cleveland Art Museum
Quails and Sparrows in an Autumn Scene,"Wang Yuan (Chinese, c. 1299-after 1366)",1347,1997.91,Painting,"China, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1997.91/1997.91_web.jpg,Cleveland Art Museum
Greeting the Spring,"Wu Bin (Chinese, active c. 1591–1626)",1600,1959.45,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1959.45/1959.45_web.jpg,Cleveland Art Museum
Jar,Unknown,900s,1957.29,Ceramic,"Northeast China, Liao dynasty (916-1125)",https://openaccess-cdn.clevelandart.org/1957.29/1957.29_web.jpg,Cleveland Art Museum
Guardian Lion,Unknown,c. 600,1965.473,Sculpture,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1965.473/1965.473_web.jpg,Cleveland Art Museum
Bodhisattva of Compassion (Avalokiteshvara),"Chöying Dorjé, the Tenth Black Hat Karmapa (Tibetan, 1604–1674)",1647–48 or 1658,1968.280,Ivory,Tibet,https://openaccess-cdn.clevelandart.org/1968.280/1968.280_web.jpg,Cleveland Art Museum
Zhao Mengfu Writing the Heart (Hridaya) Sutra in Exchange for Tea,"Qiu Ying (Chinese, 1494–1552)",1542–43,1963.102,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1963.102/1963.102_web.jpg,Cleveland Art Museum
Pure Tones among Hills and Waters,"Xiao Yuncong (Chinese, 1596–1673)",1664,1954.262,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1954.262/1954.262_web.jpg,Cleveland Art Museum
Fishermen-Hermits in Stream and Mountain,"Zhao Yong (Chinese, c. 1289-c. 1362)",1300s,1997.93,Painting,"China, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1997.93/1997.93_web.jpg,Cleveland Art Museum
Landscape after Jing Hao and Guan Tong,"Li Shizhuo (Chinese, c. 1690–1770)",c. 1690–1770,1952.588,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1952.588/1952.588_web.jpg,Cleveland Art Museum
Sakyamuni Preaching: A Votive Stele,Unknown,c. 565,1915.561,Sculpture,"China, Northern Dynasties period (AD 386-581), Northern Zhou (557-581)",https://openaccess-cdn.clevelandart.org/1915.561/1915.561_web.jpg,Cleveland Art Museum
Horse,Unknown,1600s,1952.480,Jade,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1952.480/1952.480_web.jpg,Cleveland Art Museum
Vase,Unknown,1700s,1952.506,Jade,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1952.506/1952.506_web.jpg,Cleveland Art Museum
Bodhisattva Guanyin,Unknown,581–618,1962.217,Sculpture,"China, Sui dynasty (581-618)",https://openaccess-cdn.clevelandart.org/1962.217/1962.217_web.jpg,Cleveland Art Museum
Cup with Dragon and Clouds,Unknown,1522–66,1964.176,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Ming dynasty (1368-1644), Jiajing mark and reign (1522-66)",https://openaccess-cdn.clevelandart.org/1964.176/1964.176_web.jpg,Cleveland Art Museum
Pair of Miniature Vases with Birds and Chrysanthemums,Unknown,1736–95,1964.206,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Qing dynasty (1644-1911), Qianlong mark and reign (1736-95)",https://openaccess-cdn.clevelandart.org/1964.206/1964.206_web.jpg,Cleveland Art Museum
Miniature Vase with Birds and Chrysanthemums,Unknown,1736–95,1964.206.1,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Qing dynasty (1644-1911), Qianlong mark and reign (1736-95)",https://openaccess-cdn.clevelandart.org/1964.206.1/1964.206.1_web.jpg,Cleveland Art Museum
Miniature Vase with Birds and Chrysanthemums,Unknown,1736–95,1964.206.2,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Qing dynasty (1644-1911), Qianlong mark and reign (1736-95)",https://openaccess-cdn.clevelandart.org/1964.206.2/1964.206.2_web.jpg,Cleveland Art Museum
Brushwasher in Form of Lingzhi Fungus,Unknown,1736–95,1964.225,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Qing dynasty (1644-1911), Qianlong mark and reign (1736-95)",https://openaccess-cdn.clevelandart.org/1964.225/1964.225_web.jpg,Cleveland Art Museum
Low Table (kang zhuo) with Dragons in Clouds,Unknown,1600s–1700s,1964.228,Furniture and woodwork,"China, Ming dynasty (1368-1644) or Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1964.228/1964.228_web.jpg,Cleveland Art Museum
Side Table,Unknown,1600s,1964.229,Furniture and woodwork,"China, Ming dynasty (1368-1644) or Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1964.229/1964.229_web.jpg,Cleveland Art Museum
Female Figure with Crane and Squirrel,Unknown,1662–1722,1964.240,Ivory,"China, Qing dynasty (1644-1911), Kangxi reign (1662-1722)",https://openaccess-cdn.clevelandart.org/1964.240/1964.240_web.jpg,Cleveland Art Museum
Li Taibo,Unknown,1700s,1970.131,Stone,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1970.131/1970.131_web.jpg,Cleveland Art Museum
Wrist Rest,Unknown,1736–95,1970.145,Jade,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",https://openaccess-cdn.clevelandart.org/1970.145/1970.145_web.jpg,Cleveland Art Museum
Li Tieguai,Unknown,1300s,1982.29.1,Painting,"China, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1982.29.1/1982.29.1_web.jpg,Cleveland Art Museum
Liu Haichan,Unknown,1300s,1982.29.2,Painting,"China, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1982.29.2/1982.29.2_web.jpg,Cleveland Art Museum
Miniature Garden Seat,Unknown,late 1700s–early 1800s,1989.330,Ivory,"China, Qing dynasty (1644-1911), Qianlong mark and reign (1736-95)",https://openaccess-cdn.clevelandart.org/1989.330/1989.330_web.jpg,Cleveland Art Museum
Snuff Bottle with European Figures (stopper),Unknown,1736–95 or later,1991.126.b,Enamel,"China, Qing dynasty (1644-1911), Qianlong mark and reign (1736-95)",https://openaccess-cdn.clevelandart.org/1991.126.b/1991.126.b_web.jpg,Cleveland Art Museum
Seated Amitābha,Unknown,late 1500s–early 1600s,1994.94,Painting,"Chinese, Ming dynasty (1368-1644)",https://openaccess-cdn.clevelandart.org/1994.94/1994.94_web.jpg,Cleveland Art Museum
Flat Dish Made of Marbled Clay,Unknown,960–1234,2020.187,Ceramic,"North or Central China, Northern Song (960–1127) or Jin dynasty (1115–1234)",https://openaccess-cdn.clevelandart.org/2020.187/2020.187_web.jpg,Cleveland Art Museum
Relief with Dragon from a Funerary Stove Model,Unknown,202 BC–AD 220,1925.138,Ceramic,"China, from a tomb in Xi'an, Shanxi province, Han dynasty (202 BC-AD 220)",https://openaccess-cdn.clevelandart.org/1925.138/1925.138_web.jpg,Cleveland Art Museum
Dream Journey to Mt. Tiantai,"Qian Du (Chinese, 1763–1844)",1814,1975.75,Painting,"China, Qing dynasty (1644-1911), Jiaqing reign (1796-1820)",https://openaccess-cdn.clevelandart.org/1975.75/1975.75_web.jpg,Cleveland Art Museum
Spring Rain Thatched Hut,"Wang Jianzhang (Chinese, active 1621–1662)",1650,2008.108,Drawing,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/2008.108/2008.108_web.jpg,Cleveland Art Museum
Ceremonial Disk (Bi),Unknown,3300–2200 BC,1917.974,Jade,"East China, Neolithic period, Liangzhu culture (3300-2200 BC)",https://openaccess-cdn.clevelandart.org/1917.974/1917.974_web.jpg,Cleveland Art Museum
The New-born Buddha,Unknown,400s,1955.46,Sculpture,"China, Northern Wei dynasty (386-534)",https://openaccess-cdn.clevelandart.org/1955.46/1955.46_web.jpg,Cleveland Art Museum
Mortuary Figure of the Zodiac Sign: Dog (Aquarius),Unknown,500s,1972.76.11,Sculpture,"China, Northern Wei dynasty (386-534)",https://openaccess-cdn.clevelandart.org/1972.76.11/1972.76.11_web.jpg,Cleveland Art Museum
Mortuary Figure of the Zodiac Sign: Tiger (Gemini),Unknown,500s,1972.76.3,Sculpture,"China, Northern Wei dynasty (386-534)",https://openaccess-cdn.clevelandart.org/1972.76.3/1972.76.3_web.jpg,Cleveland Art Museum
Mortuary Figure of the Zodiac Sign:  Dragon (Leo),Unknown,500s,1972.76.5,Sculpture,"China, Northern Wei dynasty (386-534)",https://openaccess-cdn.clevelandart.org/1972.76.5/1972.76.5_web.jpg,Cleveland Art Museum
Ascetic Holding a Skull,Unknown,c. 500,1980.25,Sculpture,"China, Northern Wei dynasty (386-534)",https://openaccess-cdn.clevelandart.org/1980.25/1980.25_web.jpg,Cleveland Art Museum
Lady Xuanwen Giving Instruction on the Rites of Zhou,"Chen Hongshou (Chinese, 1598/99–1652)",1638,1961.89,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1961.89/1961.89_web.jpg,Cleveland Art Museum
Pair of Hexagonal Flower Pots,Unknown,1300s–1400s,1942.661,Ceramic,"China, Henan province, Yuxian, Juntai, Ming dynasty (1368-1644)",https://openaccess-cdn.clevelandart.org/1942.661/1942.661_web.jpg,Cleveland Art Museum
Tripod (Ding),Unknown,c. 1250–1046 BC,1962.281,Metalwork,"China, late Shang dynasty (c.1600-c.1046 BC), Anyang phase (c.1250-1046 BC)",https://openaccess-cdn.clevelandart.org/1962.281/1962.281_web.jpg,Cleveland Art Museum
Landscape in the Style of Dong Yuan and Juran,"Gong Xian (Chinese, 1599–1689)",c. 1650,1969.123,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1969.123/1969.123_web.jpg,Cleveland Art Museum
Pipa,Unknown,1800s,1918.344,Musical Instrument,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1918.344/1918.344_web.jpg,Cleveland Art Museum
Guqin,Unknown,1600s,1918.371,Musical Instrument,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1918.371/1918.371_web.jpg,Cleveland Art Museum
Axe,Unknown,1766–1045 BC,1941.549,Metalwork,"China, Shang dynasty (c.1600-c.1046 BC)",https://openaccess-cdn.clevelandart.org/1941.549/1941.549_web.jpg,Cleveland Art Museum
A Prunus in the Moonlight,"Wang Mian (Chinese, 1287–1359)",1300s,1974.26,Painting,"China, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1974.26/1974.26_web.jpg,Cleveland Art Museum
Old Trees by a Wintry Brook,"Wen Zhengming (Chinese, 1470–1559)",1551,1997.102,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1997.102/1997.102_web.jpg,Cleveland Art Museum
Morning Sun over Heavenly Citadel Peak,"Ding Yunpeng (Chinese, 1547-c. 1628)",1614,1965.28,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1965.28/1965.28_web.jpg,Cleveland Art Museum
Children at Play,"Xia Kui (Chinese, active c. 1405–1445)",1508,1915.110,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1915.110/1915.110_web.jpg,Cleveland Art Museum
Landscape,Unknown,1644–1911,1917.25,Stone,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1917.25/1917.25_web.jpg,Cleveland Art Museum
Thumb Ring,Unknown,1600s,1947.543,Jade,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1947.543/1947.543_web.jpg,Cleveland Art Museum
Bowl with Peonies,Unknown,1662–1722,1964.198,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Qing dynasty (1644-1911), Kangxi mark and reign (1661-1722)",https://openaccess-cdn.clevelandart.org/1964.198/1964.198_web.jpg,Cleveland Art Museum
Tree Root,Unknown,before 1800s,2003.44,Miscellaneous,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/2003.44/2003.44_web.jpg,Cleveland Art Museum
Squirrel on a Pine Branch,"Song Tian (Chinese, active 1300s)",1500s,2015.498,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/2015.498/2015.498_web.jpg,Cleveland Art Museum
The Knickknack Peddler,"Li Song (Chinese, active c. 1190-c. 1230)",1212,1963.582,Painting,"China, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1963.582/1963.582_web.jpg,Cleveland Art Museum
Mirror with Animals and Birds,Unknown,early 700s,1951.292,Metalwork,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1951.292/1951.292_web.jpg,Cleveland Art Museum
Bowl with Flower Petals,Unknown,1300s,1953.122,Ceramic,"China, Jiangxi province, Jingdezhen, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1953.122/1953.122_web.jpg,Cleveland Art Museum
Vase (Meiping),Unknown,1200s,1957.52,Ceramic,"China, Zhejiang Province, Longquan region, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1957.52/1957.52_web.jpg,Cleveland Art Museum
Brush Pot with Episode from Life on Sima Guang,Unknown,1628–1661,1964.179,Ceramic,"China, Jiangxi province, Jingdezhen, Qing dynasty, Shunzhi period (1644-61)",https://openaccess-cdn.clevelandart.org/1964.179/1964.179_web.jpg,Cleveland Art Museum
Pair of Bowls with Peony Sprays on Diaper Ground (exterior); Chrysanthemum Sprays (interior),Unknown,1736–1795,1964.204,Ceramic,"China, Jiangxi province, Jingdezhen, Qing dynasty (1644-1911), Qianlong mark and reign (1736-1795)",https://openaccess-cdn.clevelandart.org/1964.204/1964.204_web.jpg,Cleveland Art Museum
Dish with Female and Attendant,Unknown,c. 1713,1964.220,Ceramic,"China, Jiangxi province, Jingdezhen, Qing dynasty (1644-1911), Kangxi mark and period (1662-1722)",https://openaccess-cdn.clevelandart.org/1964.220/1964.220_web.jpg,Cleveland Art Museum
Mortuary Figure of the Zodiac Sign: Rat (Aries),Unknown,500s,1972.76.1,Sculpture,"China, Northern Wei dynasty (386-534)",https://openaccess-cdn.clevelandart.org/1972.76.1/1972.76.1_web.jpg,Cleveland Art Museum
Mortuary Figure of the Zodiac Sign: Cock (Capricorn),Unknown,500s,1972.76.10,Sculpture,"China, Northern Wei dynasty (386-534)",https://openaccess-cdn.clevelandart.org/1972.76.10/1972.76.10_web.jpg,Cleveland Art Museum
Mortuary Figure of the Zodiac Sign: Boar (Pisces),Unknown,500s,1972.76.12,Sculpture,"China, Northern Wei dynasty (386-534)",https://openaccess-cdn.clevelandart.org/1972.76.12/1972.76.12_web.jpg,Cleveland Art Museum
Mortuary Figure of the Zodiac Sign: Ox (Taurus),Unknown,500s,1972.76.2,Sculpture,"China, Northern Wei dynasty (386-534)",https://openaccess-cdn.clevelandart.org/1972.76.2/1972.76.2_web.jpg,Cleveland Art Museum
Mortuary Figure of the Zodiac Sign: Hare (Cancer),Unknown,500s,1972.76.4,Sculpture,"China, Northern Wei dynasty (386-534)",https://openaccess-cdn.clevelandart.org/1972.76.4/1972.76.4_web.jpg,Cleveland Art Museum
Mortuary Figure of the Zodiac Sign: Serpent (Virgo),Unknown,500s,1972.76.6,Sculpture,"China, Northern Wei dynasty (386-534)",https://openaccess-cdn.clevelandart.org/1972.76.6/1972.76.6_web.jpg,Cleveland Art Museum
Mortuary Figure of the Zodiac Sign: Horse (Libra),Unknown,500s,1972.76.7,Sculpture,"China, Northern Wei dynasty (386-534)",https://openaccess-cdn.clevelandart.org/1972.76.7/1972.76.7_web.jpg,Cleveland Art Museum
Mortuary Figure of the Zodiac Sign: Sheep (Scorpio),Unknown,500s,1972.76.8,Sculpture,"China, Northern Wei dynasty (386-534)",https://openaccess-cdn.clevelandart.org/1972.76.8/1972.76.8_web.jpg,Cleveland Art Museum
Mortuary Figure of the Zodiac Sign: Monkey (Sagittarius),Unknown,500s,1972.76.9,Sculpture,"China, Northern Wei dynasty (386-534)",https://openaccess-cdn.clevelandart.org/1972.76.9/1972.76.9_web.jpg,Cleveland Art Museum
Bowl with Splayed Foot,Unknown,1700s,1989.319,Enamel,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1989.319/1989.319_web.jpg,Cleveland Art Museum
Vase with Three Rams' Heads,Unknown,1736–1795,1989.321,Enamel,"China, Jiangxi province, Jingdezhen, Qing dynasty (1644-1911), Qianlong mark and reign (1736-1795)",https://openaccess-cdn.clevelandart.org/1989.321/1989.321_web.jpg,Cleveland Art Museum
Oval Cup Stand with Animal Masks,Unknown,1736–1795,1989.327,Jade,"China, Qing dynasty, Qianlong mark and period (1736-1795)",https://openaccess-cdn.clevelandart.org/1989.327/1989.327_web.jpg,Cleveland Art Museum
Meiping Vase with Carved Floral Sprays,Unknown,960–1279,2017.20,Ceramic,"China, Song dynasty (960-1279)",https://openaccess-cdn.clevelandart.org/2017.20/2017.20_web.jpg,Cleveland Art Museum
Relief with Rampant Tiger and Boar from a Funerary Stove Model,Unknown,202 BC-AD 220,1925.137,Ceramic,"China, from a tomb in Xi'an, Shanxi province, Han dynasty (202 BC-AD 220)",https://openaccess-cdn.clevelandart.org/1925.137/1925.137_web.jpg,Cleveland Art Museum
Relief with Tiger from a Funerary Stove Model,Unknown,202 BC-AD 220,1925.140,Ceramic,"China, from a tomb in Xi'an, Shanxi province, Han dynasty (202 BC-AD 220)",https://openaccess-cdn.clevelandart.org/1925.140/1925.140_web.jpg,Cleveland Art Museum
Bowl (wan) with Water Plants and Arabesques,Unknown,1506–21,1957.359,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Ming dynasty (1368-1644), Zhengde mark and reign (1506-21)",https://openaccess-cdn.clevelandart.org/1957.359/1957.359_web.jpg,Cleveland Art Museum
Dish with Bird on Peach Branch,Unknown,1662–1722,1964.213.1,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Qing dynasty (1644-1911), Kangxi mark and reign (1662-1722)",https://openaccess-cdn.clevelandart.org/1964.213.1/1964.213.1_web.jpg,Cleveland Art Museum
Dish with Bird on Peach Branch,Unknown,1662–1722,1964.213.2,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Qing dynasty (1644-1911), Kangxi mark and reign (1662-1722)",https://openaccess-cdn.clevelandart.org/1964.213.2/1964.213.2_web.jpg,Cleveland Art Museum
Scholar Watching the Waterfall,"Luo Ping (Chinese, 1733–1799)",1764,1975.95,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1975.95/1975.95_web.jpg,Cleveland Art Museum
Screen with Landscape (reverse),Unknown,1736–95,1964.243.1.b,Enamel,"China, Beijing palace workshops, Qing dynasty (1644-1911), Qianlong reign (1736-1795)",https://openaccess-cdn.clevelandart.org/1964.243.1.b/1964.243.1.b_web.jpg,Cleveland Art Museum
Stand for Screen with European Figures (obverse) and Landscape (reverse),Unknown,1736–95,1964.243.2,Metalwork,"China, Beijing palace workshops, Qing Dynasty (1644-1911), Qianlong reign (1736-1795)",https://openaccess-cdn.clevelandart.org/1964.243.2/1964.243.2_web.jpg,Cleveland Art Museum
Gourd-Shaped Vase,Unknown,late 1700s,1972.258,Jade,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1972.258/1972.258_web.jpg,Cleveland Art Museum
Cylindrical Container with Cover (Lian),Unknown,100 BC-100 AD,1972.44,Metalwork,"China, Han dynasty (202 BC-AD 220)",https://openaccess-cdn.clevelandart.org/1972.44/1972.44_web.jpg,Cleveland Art Museum
Cylindrical Container with Cover (Lian),Unknown,100 BC- 100,1972.44.a,Metalwork,"China, Han dynasty (202 BC-AD 220)",https://openaccess-cdn.clevelandart.org/1972.44.a/1972.44.a_web.jpg,Cleveland Art Museum
