Title,Artist,Creation_Date,Accession_Number,Art_Type,Culture,Image,Museum
Square Covered Box with Hundred Antiquities,Unknown,1723–35,1989.309.a,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Qing dynasty (1644-1911), Yongzheng mark and reign (1723-35)",https://openaccess-cdn.clevelandart.org/1989.309.a/1989.309.a_web.jpg,Cleveland Art Museum
Hu (Jar),Unknown,481–221 BC,1975.62,Metalwork,"China, Eastern Zhou dynasty (771-256 BC), Warring States period (475-221 BC)",https://openaccess-cdn.clevelandart.org/1975.62/1975.62_web.jpg,Cleveland Art Museum
The Kill,Unknown,300–100 BC,1957.139,Painting,"China, late Warring States period (475-221 BC) to Western Han dynasty (202 BC-AD 9)",https://openaccess-cdn.clevelandart.org/1957.139/1957.139_web.jpg,Cleveland Art Museum
Eagle on a Tree Trunk,"Huang Shen (Chinese, 1687–1772)",1755,1977.31,Painting,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",https://openaccess-cdn.clevelandart.org/1977.31/1977.31_web.jpg,Cleveland Art Museum
Panel from Model Cooking Stove:  Fairy Feeding Lingzhi Fungus to a Dragon,Unknown,100–1 BC,1925.134,Ceramic,"China, from a tomb in Xi'an, Shanxi province, Western Han dynasty (202 BC-AD 9)",https://openaccess-cdn.clevelandart.org/1925.134/1925.134_web.jpg,Cleveland Art Museum
Nine Dragon Pool,"Mei Qing (Chinese, 1623–1697)",1690s,1979.50,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1979.50/1979.50_web.jpg,Cleveland Art Museum
Lily and Butterflies,"Liu Shanshou (Chinese, active 1300s)",1300s,1971.132,Painting,"China, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1971.132/1971.132_web.jpg,Cleveland Art Museum
"The Eight Hosts of Deva, Naga, and Yakshi",Unknown,1454,1973.70.2,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1973.70.2/1973.70.2_web.jpg,Cleveland Art Museum
Panel from Model Cooking Stove: Lancer Jousting with a Tiger,Unknown,100–1 BC,1925.135,Ceramic,"China, from a tomb in Xi'an, Shanxi province, Western Han dynasty (202 BC-AD 9)",https://openaccess-cdn.clevelandart.org/1925.135/1925.135_web.jpg,Cleveland Art Museum
Jar with Spiral Designs,Unknown,3300–2650 BC,2004.64,Ceramic,"Northwest China, Neolithic period, Majiayao culture, Majiayao phase (3300-2650 BC)",https://openaccess-cdn.clevelandart.org/2004.64/2004.64_web.jpg,Cleveland Art Museum
Ceremonial Blade with Three Perforations (Dao),Unknown,2000–1700 BC,2009.83,Jade,"Northwest China, late Neolithic period to early Bronze Age, Qijia culture (2000-1700 BC)",https://openaccess-cdn.clevelandart.org/2009.83/2009.83_web.jpg,Cleveland Art Museum
Eleven-Headed Guanyin,Unknown,late 600s,1970.66,Sculpture,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1970.66/1970.66_web.jpg,Cleveland Art Museum
Peonies,"Yun Shouping (Chinese, 1633–1690)",1685,1967.192,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1967.192/1967.192_web.jpg,Cleveland Art Museum
Brush with Carved Designs,Unknown,1573–1619,1967.194.a,Wood,"China, Ming dynasty (1368-1644), Wanli mark and reign (1573-1619)",https://openaccess-cdn.clevelandart.org/1967.194.a/1967.194.a_web.jpg,Cleveland Art Museum
